vertical,north,east,Date
0.0008781294399999999,-0.00023675767000000002,-0.00016319877625,2006-03-26
0.00063840519,-6.426001625e-05,0.00011271953625,2006-03-27
0.00171941434375,-0.00047656751375,9.223588375e-05,2006-03-28
0.0027847395975,-0.0006069182362499999,-0.00028617229,2006-03-29
0.00121220909,-0.000325399615,-0.00030784711625,2006-03-30
0.00140995997875,-0.00046305265,-0.00015627624,2006-03-31
0.00082366663875,-0.00057140058,-0.00014463046125,2006-04-01
-0.00033652469125,-0.00017238592375,-6.437404625e-05,2006-04-02
-9.2153685e-05,-0.0001823084975,0.00021907020875,2006-04-03
0.00160001463125,-0.0005044947825,7.186663875e-05,2006-04-04
0.00423281974375,-0.00077587012375,-0.0005038239499999999,2006-04-05
0.00174076201625,-0.00039767098875,-0.0007142492325000001,2006-04-06
0.001081154435,-3.97285575e-05,-0.00036987013124999997,2006-04-07
0.00019875702749999998,-0.00031283298375,-6.27703875e-05,2006-04-08
0.0004786040925,-0.00048524296875,-0.00015275692249999999,2006-04-09
0.00236421302625,-0.00068864929125,-0.00043768459375,2006-04-10
0.00237528848875,-0.0005826006475,-0.0002940910275,2006-04-11
0.00036990404625,-0.00044917479625,0.00012262827375,2006-04-12
-0.000283731245,-0.00062885832375,-2.9584175e-06,2006-04-13
0.0027859347675,-0.0008942425987500001,-0.000456008755,2006-04-14
0.00383016342,-0.001177936385,-0.00083084293875,2006-04-15
0.002744647645,-0.0009560629199999999,-0.00058044194875,2006-04-16
0.0018043424125,-0.00071196126625,-0.00067069372,2006-04-17
-0.0005588588525,2.2399888750000003e-05,-0.00037469803625,2006-04-18
-7.4947955e-05,0.00015210035375,-0.00019946161375,2006-04-19
0.00075564039375,2.16457525e-05,-0.00016337477875,2006-04-20
0.00153556646625,-0.0001471915725,-0.00011721901875,2006-04-21
0.00197665132875,-0.00020900549375,-0.0002973797775,2006-04-22
0.00106493724625,-0.00010928034875,-0.00031562499125,2006-04-23
-0.00011596380500000001,-3.531921875e-05,-0.00022833957875,2006-04-24
0.000492897475,-0.00018778130125,-0.0001551484375,2006-04-25
