Montana (PST) SNOTEL Site Hoodoo Basin - NRCS National Water and Climate Center ,,,,,,,,
,,,,,,,,
Site Id,Date,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
530,12/25/2007,18.5,24.9,-6.1,0.1,-6.1,-4.1,79
530,12/26/2007,18.6,24.9,-7.7,-6.1,-8.3,-7.2,77
530,12/27/2007,19,25.3,-7.2,-5.6,-7.7,-7,83
530,12/28/2007,19,25.4,-9.3,-6.7,-9.5,-8.1,81
530,12/29/2007,19.5,25.9,-6.1,-5.9,-9.3,-7.2,84
530,12/30/2007,20.2,26.5,-6.5,-5.4,-8.2,-6.6,90
530,12/31/2007,21.4,27.6,-7.5,-5.4,-7.5,-6.7,100
530,1/1/2008,21.5,27.7,-11.7,-6.8,-11.7,-8,95
530,1/2/2008,21.5,27.7,-4.8,-4.2,-12.5,-9,90
530,1/3/2008,21.5,27.7,-1.4,0.6,-5.4,-2.2,87
530,1/4/2008,21.9,28.1,-0.5,1,-4.3,-1.1,89
530,1/5/2008,22.3,28.6,0.4,1.6,-1.9,0.1,90
530,1/6/2008,22.9,29.2,-5.2,0.4,-5.2,-2.7,92
530,1/7/2008,23.4,29.7,-6.7,-4.3,-7.3,-5.6,94
530,1/8/2008,23.5,29.8,-7.9,-4.7,-9.4,-6.9,90
530,1/9/2008,23.8,30.1,-4,-4,-10.1,-6.4,93
530,1/10/2008,24,30.3,-9.6,-3.4,-9.8,-5.7,91
530,1/11/2008,24.5,30.8,-2.2,-2.1,-9.3,-4.7,93
530,1/12/2008,25,31.3,-2.7,-0.7,-2.7,-1.8,94
530,1/13/2008,25.1,31.5,-1.7,0,-2.9,-1.9,91
530,1/14/2008,25.2,31.6,-3.2,-0.1,-4.8,-2,90
530,1/15/2008,25.6,32,-4.8,0.6,-5.7,-2.3,96
530,1/16/2008,25.7,32.1,-13,-4.9,-14.4,-10.3,96
530,1/17/2008,25.7,32.1,-11.6,-11.1,-14.6,-12.5,91
530,1/18/2008,25.7,32.1,-7.5,-7,-11.6,-8.8,90
530,1/19/2008,25.7,32.1,-4.6,-4.6,-7.5,-6.4,88
530,1/20/2008,26,32.4,-3.3,-1.9,-4.9,-3.2,91
530,1/21/2008,26,32.4,-19.3,-3.3,-19.3,-12.9,89
530,1/22/2008,26,32.4,-14,-14,-23.5,-18.6,88
530,1/23/2008,26.1,32.6,-12.5,-6.7,-14,-10.9,85
530,1/24/2008,26.1,32.6,-9.4,-5.5,-13.9,-10.1,83
530,1/25/2008,26.1,32.6,-8.7,-5.6,-11.1,-9,82
530,1/26/2008,26.2,32.7,-7.3,-4.6,-8.6,-6.4,84
530,1/27/2008,27.5,34,-0.8,-0.6,-7.8,-3.1,93
530,1/28/2008,29.3,35.7,-4.8,-0.1,-4.8,-1.2,106
530,1/29/2008,29.5,36,-9.5,-4.8,-10.9,-8.9,109
530,1/30/2008,30.3,36.7,-7.4,-5.5,-9.5,-7.4,116
530,1/31/2008,30.8,37.2,-7,-6,-8.3,-7.2,120
530,2/1/2008,32.7,39,-5.9,-3.3,-7.1,-5.2,130
530,2/2/2008,33.7,40,-6.4,-4,-6.6,-5.7,136
530,2/3/2008,34,40.3,-7.1,-3.4,-7.5,-6.2,138
530,2/4/2008,34.1,40.4,-6.9,-2.1,-8.6,-6.1,135
530,2/5/2008,34.3,40.6,-8.6,-4.3,-8.6,-7.1,133
530,2/6/2008,35.1,41.4,-5.3,-3.8,-8.6,-6.2,137
530,2/7/2008,35.8,42.1,-6.5,-4.2,-7.1,-6.3,143
530,2/8/2008,37.4,43.6,-5.1,-3.2,-6.5,-4.5,150
530,2/9/2008,38.5,44.7,-2.7,-2.6,-5.2,-3.9,149
530,2/10/2008,38.8,45,0.5,1.2,-2.7,-0.5,146
530,2/11/2008,40.1,46.3,-2.2,0.9,-2.2,0,148
530,2/12/2008,40.3,46.4,-1.3,-0.7,-4.3,-2.2,146
530,2/13/2008,41.2,47.3,-2.1,1.8,-2.1,0,147
530,2/14/2008,41.4,47.5,-6.5,-2.1,-7.5,-4.8,145
530,2/15/2008,41.4,47.5,-6.6,-3.3,-8.5,-5.7,143
530,2/16/2008,41.7,47.8,-1.5,-0.2,-6.8,-2.9,144
530,2/17/2008,41.7,47.8,-5,-1.3,-5,-2.6,142
530,2/18/2008,41.7,47.8,-5.9,-1.3,-9.2,-5.5,140
530,2/19/2008,41.7,47.8,-4.9,0.8,-8.9,-4.5,137
530,2/20/2008,41.7,47.8,-2.3,3.6,-4.9,-1.2,135
530,2/21/2008,41.7,47.8,-4.2,2.4,-4.3,-1.6,133
530,2/22/2008,41.7,47.8,-2.8,3,-5.3,-2,131
530,2/23/2008,41.7,47.8,-2.4,3.9,-4.6,-1,130
530,2/24/2008,41.7,47.8,-4.1,1.9,-4.6,-1.3,128
530,2/25/2008,42.1,48.2,-0.8,1.5,-4.2,-1.3,131
530,2/26/2008,42.7,48.8,-2.7,2.8,-2.7,-0.4,136
530,2/27/2008,42.7,48.8,-1.3,3.1,-3,-0.6,135
530,2/28/2008,42.8,48.8,-0.4,3.4,-2.3,0.2,133
530,2/29/2008,43,49,-2.4,0.8,-2.4,-0.2,134
530,3/1/2008,43,49,3.3,5.8,-3.1,1.1,132
530,3/2/2008,43.8,49.8,-4.3,3.4,-4.5,-2.1,139
530,3/3/2008,43.9,49.8,-5.2,-1.3,-5.6,-4.3,137
530,3/4/2008,44.5,50.4,-3.3,-1.8,-5.3,-3.6,144
530,3/5/2008,44.9,50.8,-4.3,0.1,-4.8,-3.2,148
530,3/6/2008,45,50.9,-5.7,-0.7,-5.7,-3.6,146
530,3/7/2008,45,50.9,-3.3,3.2,-5.9,-2.6,143
530,3/8/2008,45.1,51,-3.1,2.1,-5.4,-1.8,142
530,3/9/2008,45.2,51,-1.6,3.1,-3.2,-0.4,140
530,3/10/2008,45.2,51,-3.2,2.9,-5,-1.6,138
530,3/11/2008,45.3,51,1.6,7,-4.3,1.1,135
530,3/12/2008,45.9,51.6,-3.4,2.9,-3.4,-0.7,139
530,3/13/2008,45.9,51.6,-4.3,1.1,-5.4,-2.9,137
530,3/14/2008,46.1,51.8,-2.4,2.4,-5.3,-1.5,139
530,3/15/2008,46.6,52.3,-2.7,2.1,-4.3,-1.9,141
530,3/16/2008,46.9,52.6,-4.2,2,-5.1,-2.2,141
530,3/17/2008,47.3,53,-3.8,1.3,-5.1,-3.2,143
530,3/18/2008,47.7,53.4,-1.7,-0.9,-4,-2.5,145
530,3/19/2008,48.4,54.1,-3.6,1.6,-3.6,-1.3,150
530,3/20/2008,48.6,54.2,-3.2,2.5,-6,-2.4,148
530,3/21/2008,48.9,54.5,-5.2,-0.2,-5.2,-3.4,149
530,3/22/2008,49.3,54.9,-8.1,-2.4,-8.1,-4.8,151
530,3/23/2008,49.3,54.9,-5.7,3.1,-10.5,-4.6,147
530,3/24/2008,49.9,55.5,-1,4.6,-6.2,-1.2,149
530,3/25/2008,50.1,55.7,-9.2,-1,-9.9,-4.7,148
530,3/26/2008,50.2,55.8,-7.7,0,-10.4,-5.6,146
530,3/27/2008,50.3,55.9,-5.8,0.4,-9,-4.6,145
530,3/28/2008,50.7,56.3,-8.4,-4,-8.4,-6.2,149
530,3/29/2008,51,56.6,-7,-0.1,-12,-6,150
530,3/30/2008,51.3,56.9,-8.8,-2.9,-9,-6.3,152
530,3/31/2008,51.3,56.9,-10.1,2.3,-11.1,-6.5,150
530,4/1/2008,51.5,57,-7.1,-0.3,-10.2,-5.8,151
530,4/2/2008,51.5,57,-8.9,-1.1,-9.4,-6.2,148
530,4/3/2008,51.6,57,-7.4,0.5,-9.5,-4.9,147
530,4/4/2008,51.6,57,-2.8,4.7,-8.6,-2.2,144
530,4/5/2008,51.8,57.2,-4.5,7,-4.5,-0.2,146
530,4/6/2008,51.9,57.4,-6.3,0.6,-6.5,-3.3,145
530,4/7/2008,52,57.4,-2.5,2.6,-6.8,-2.4,146
530,4/8/2008,52.1,57.5,-5,1.8,-6.1,-2.2,147
530,4/9/2008,52.3,57.8,-5.4,4.3,-5.4,-2,146
530,4/10/2008,52.3,57.8,-4.7,4.7,-5.9,-2.3,145
530,4/11/2008,52.6,58.1,-4.1,1,-5.1,-2.5,148
530,4/12/2008,52.6,58.2,-1.7,5.4,-4.2,0.1,146
530,4/13/2008,52.6,58.3,1.9,11.3,-2.8,3.1,143
530,4/14/2008,52.5,58.3,5.8,15.6,1.5,8.4,140
530,4/15/2008,52.7,58.6,-2.6,11,-2.6,3.6,142
530,4/16/2008,52.8,58.8,-3.9,-0.8,-4.3,-3.1,143
530,4/17/2008,53.1,59.2,-2.7,0.3,-4.4,-2.5,144
530,4/18/2008,53.1,59.2,1.3,6.2,-3.9,1.1,140
530,4/19/2008,53.1,59.2,-2,5.2,-2,0.8,139
530,4/20/2008,53.4,59.5,-6.2,2.1,-6.2,-2.2,142
530,4/21/2008,53.5,59.6,-6.4,0.9,-8.9,-5.5,138
530,4/22/2008,53.9,59.9,-5.8,-1.6,-9,-5.5,145
530,4/23/2008,54.2,60.2,-1,4,-5.8,-1.7,145
530,4/24/2008,54.3,60.3,-2.9,6.3,-3.3,0.2,144
530,4/25/2008,54.6,60.6,-2.3,3.4,-3.8,-0.8,147
530,4/26/2008,55,60.9,-3.3,0.7,-3.7,-2,149
530,4/27/2008,55.1,61,-1.6,7.4,-6,0.4,145
530,4/28/2008,54.9,61,3.4,13.4,-3.6,5.4,141
530,4/29/2008,54.3,61,3.7,15.3,2.4,7.9,138
530,4/30/2008,54.5,61,-1.9,5.1,-1.9,1.4,139
530,5/1/2008,54.8,61.3,-3.6,1.5,-3.6,-2.3,142
530,5/2/2008,55,61.3,-4.2,5.7,-4.4,-0.5,138
530,5/3/2008,54.9,61.3,1,11.5,-4.4,2.9,137
530,5/4/2008,54.7,61.3,2.1,11.5,0.3,5.3,136
530,5/5/2008,54.4,61.3,3.2,14.8,1.2,7,134
530,5/6/2008,53.8,61.3,4,15.8,2.2,7.7,132
530,5/7/2008,53.4,61.3,3.2,11.3,2.7,5.6,130
530,5/8/2008,53.2,61.3,1.7,7.9,1.7,3.5,129
530,5/9/2008,53.5,61.4,-2.4,5.9,-2.4,0.9,129
530,5/10/2008,53.7,61.5,-1.3,8.7,-3.9,0.6,128
530,5/11/2008,52.9,61.5,5.5,9.4,-2.2,3.5,128
530,5/12/2008,53,61.8,-0.9,6.2,-1.3,1.9,128
530,5/13/2008,53.4,61.8,-2.2,3.5,-2.3,0.5,128
530,5/14/2008,53.5,61.9,2.5,8.7,-2.4,2.7,127
